iter	MAE	RMSE
0	0.2146480042	0.2529335212
1	0.210962784	0.2486547677
2	0.2073975232	0.2446682049
3	0.2041933549	0.2413222466
4	0.2011258883	0.2381868178
5	0.1982650702	0.2353955226
6	0.1956357331	0.2329925959
7	0.1932896146	0.2308789082
8	0.190966449	0.2289446868
9	0.1887358855	0.2271536738
10	0.1868042858	0.2257345748
11	0.185118944	0.2245007718
12	0.1834519174	0.2233539
13	0.1819042721	0.2222755287
14	0.1804867048	0.2213610649
15	0.1791218181	0.2205274839
16	0.1778931347	0.2196779816
17	0.1767192312	0.2189247935
18	0.1757128229	0.2182421102
19	0.1747530439	0.2176352807
20	0.1740949965	0.2172051905
21	0.1733597586	0.2167885392
22	0.1725819988	0.2163591315
23	0.1719573907	0.2159982213
24	0.1712976655	0.2155896867
25	0.1707326636	0.2152158185
26	0.1701572191	0.2149399289
27	0.169634793	0.2146629865
28	0.16901469	0.2143142901
29	0.1685219415	0.2140506173
30	0.1681958981	0.213859689
31	0.1678550147	0.2136714386
32	0.1674342609	0.213440367
33	0.1670017551	0.2132310037
34	0.1666403251	0.2130623606
35	0.1663034442	0.2128534131
36	0.1660140967	0.2127011514
37	0.1657264024	0.2125463618
38	0.165479341	0.2123882114
39	0.1652897622	0.212255555
40	0.1650843913	0.2121212364
41	0.1648915478	0.2119624486
42	0.1646900826	0.2118555795
43	0.1645184639	0.2117289024
44	0.1643874153	0.2116484325
45	0.16424269	0.2115513133
46	0.1640656233	0.2114300061
47	0.1638736532	0.2112740532
48	0.1637375004	0.2111758283
49	0.1635945235	0.2110783571
50	0.1634891201	0.2109719083
51	0.1633599228	0.2108761062
52	0.1632224719	0.2107612181
53	0.1630955329	0.2106648642
54	0.1630041073	0.2105961855
55	0.1629348318	0.2105404432
56	0.1628371376	0.2104862723
57	0.1627593656	0.2104146375
58	0.1626844193	0.2103219959
59	0.1626160632	0.2102628192
60	0.1625222785	0.2101884925
61	0.1624644849	0.2101043584
62	0.1623654027	0.2100206634
63	0.1622792682	0.2099377835
64	0.1622255474	0.2098471921
65	0.1621465496	0.2097848075
66	0.1620445404	0.2097262946
67	0.1619847672	0.2096661606
68	0.1619199391	0.2095869671
69	0.16186824	0.2095100471
70	0.1618839937	0.2094563533
71	0.1618042385	0.2093774353
72	0.1617835285	0.2092994211
73	0.1617172534	0.2092470384
74	0.161666536	0.209178509
75	0.1615632576	0.2090991445
76	0.1615178897	0.2090316435
77	0.1614899469	0.2089790353
78	0.1614241914	0.2088994626
79	0.1613882082	0.2088078161
80	0.1613725335	0.2087436438
81	0.1613178675	0.2086850625
82	0.1612920516	0.2086168604
83	0.1612653927	0.2085432517
84	0.1612232491	0.2084741511
85	0.1611824252	0.2084387301
86	0.1611207735	0.2083759359
87	0.1610704009	0.2083129747
88	0.1610650712	0.2082760986
89	0.1609985426	0.2082153445
90	0.1609543515	0.2081439071
91	0.1609060177	0.2080744331
92	0.1608535041	0.2080278039
93	0.1608456339	0.2080079926
94	0.1608160893	0.2079583613
95	0.1607877293	0.2079172065
96	0.1607877175	0.2078906613
97	0.1607552524	0.2078665195
98	0.1607278779	0.2078419212
99	0.1606886011	0.207782421
100	0.1606390831	0.2077122839
101	0.1606066258	0.207666047
102	0.1605813233	0.2076357791
103	0.1605409305	0.2075815881
104	0.1605043494	0.2075487088
105	0.1604787281	0.2074995832
106	0.1604602105	0.207440932
107	0.16044157	0.20740848
108	0.1604013507	0.2073671115
109	0.160375868	0.2073190532
110	0.1603180588	0.2072707319
111	0.1602613935	0.2072058345
112	0.1602055259	0.2071483102
113	0.1602004321	0.2071234938
114	0.1601630458	0.2070646253
115	0.1601350315	0.2070193595
116	0.1601027061	0.2069583576
117	0.1600548713	0.2069159549
118	0.160032472	0.206890762
119	0.160025186	0.2068523754
120	0.1599876377	0.2068100772
