iter	Passed	Remaining
0	3	3359
1	6	3150
2	10	3476
3	13	3330
4	16	3280
5	19	3258
6	22	3159
7	24	3093
8	30	3317
9	32	3260
10	36	3271
11	39	3229
12	43	3277
13	46	3261
14	49	3232
15	52	3215
16	55	3189
17	59	3234
18	62	3207
19	64	3176
20	68	3197
21	71	3183
22	74	3154
23	77	3161
24	80	3136
25	83	3131
26	86	3109
27	89	3093
28	94	3174
29	98	3191
30	101	3171
31	104	3164
32	107	3164
33	110	3148
34	113	3140
35	116	3129
36	119	3112
37	122	3103
38	125	3100
39	129	3099
40	131	3087
41	136	3110
42	141	3142
43	144	3144
44	147	3139
45	151	3141
46	154	3140
47	158	3138
48	161	3125
49	163	3109
50	165	3087
51	168	3077
52	171	3066
53	175	3072
54	178	3071
55	181	3063
56	184	3052
57	187	3040
58	192	3073
59	195	3066
60	198	3057
61	201	3048
62	204	3038
63	207	3033
64	210	3026
65	213	3017
66	216	3015
67	220	3019
68	223	3011
69	226	3012
70	229	3003
71	232	2997
72	235	2984
73	239	2992
74	242	2990
75	245	2985
76	249	2987
77	253	2991
78	255	2981
79	260	2995
80	264	3005
81	267	2997
82	271	2995
83	275	2999
84	277	2990
85	282	2997
86	284	2986
87	287	2982
88	292	2989
89	295	2983
90	298	2979
91	301	2975
92	304	2967
93	306	2958
94	310	2956
95	313	2948
96	315	2940
97	318	2931
98	321	2924
99	325	2931
100	328	2926
101	331	2917
102	334	2910
103	340	2935
104	343	2928
105	346	2919
106	349	2912
107	351	2906
108	355	2907
109	358	2904
110	361	2898
111	365	2896
112	367	2888
113	371	2886
114	374	2879
115	377	2873
116	381	2876
117	384	2871
118	387	2866
119	392	2878
120	395	2875
121	398	2871
122	401	2864
123	405	2864
124	407	2855
125	410	2850
126	414	2848
127	417	2843
128	423	2856
129	426	2851
130	430	2856
131	433	2852
132	437	2852
133	440	2847
134	443	2840
135	446	2837
136	449	2832
137	453	2835
138	457	2835
139	460	2829
140	463	2822
141	465	2814
142	468	2808
143	471	2805
144	474	2799
145	477	2793
146	480	2789
147	483	2785
148	489	2794
149	492	2792
150	496	2789
151	499	2784
152	502	2780
153	505	2776
154	508	2774
155	512	2772
156	515	2767
157	517	2760
158	521	2758
159	524	2752
160	529	2760
161	533	2758
162	537	2762
163	540	2757
164	543	2752
165	547	2748
166	549	2742
167	553	2742
168	556	2736
169	559	2730
170	562	2725
171	564	2718
172	567	2714
173	570	2708
174	573	2704
175	577	2702
176	579	2696
177	582	2692
178	587	2694
179	590	2689
180	593	2683
181	595	2678
182	598	2672
183	602	2671
184	605	2668
185	610	2669
186	613	2665
187	615	2660
188	621	2667
189	624	2661
190	627	2659
191	630	2655
192	634	2653
193	637	2647
194	641	2648
195	644	2645
196	647	2640
197	650	2634
198	653	2631
199	656	2626
200	660	2624
201	663	2620
202	667	2619
203	669	2612
204	672	2607
205	675	2604
206	678	2599
